CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;NM_EDITORA;NM_CIDADE;NM_PAIS;DS_IDIOMA;NR_PAGINAS;DS_ISBN_ISSN;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
32007019050P6;ECONOMIA APLICADA;UFOP;UNIVERSIDADE FEDERAL DE OURO PRETO;2017;23208089;2;10;TEXTO PARA DISCUSSAO CEDEPLAR - UFMG NO 549/ UNIVERSIDADE FEDERAL DE MINAS GERAIS;TEXTO PARA DISCUSSAO CEDEPLAR - UFMG NO 549/ UNIVERSIDADE FEDERAL DE MINAS GERAIS;-;-;PORTUGUES;33;23182377;MEIO DIGITAL;-;-;0
32006012013P7;ECOLOGIA E CONSERVACAO DE RECURSOS NATURAIS;UFU;UNIVERSIDADE FEDERAL DE UBERLANDIA;2017;23208345;2;10;CAPITULO DE LIVRO;EDUFPE;RECIFE, PERNAMBUCO;BRASIL;PORTUGUES;18;978-85-415-0909-1;MEIO DIGITAL;HTTP://WWW3.UFPE.BR/EDITORA/UFPEBOOKS/OUTROS/PRIMA_BR/;TITULO DO LIVRO: A PRIMATOLOGIA NO BRASIL: ANAIS DO CONGRESSO BRASILEIRO DE PRIMATOLOGIA: VOLUME 14;0
42021014001P9;EDUCACAO;UNILASALLE;CENTRO UNIVERSITARIO LA SALLE;2017;23208478;2;10;POSTER;UNILASALLE;CANOAS;BRASIL;PORTUGUES;-;1983-6783;IMPRESSO;HTTP://WWW.UNILASALLE.EDU.BR/PUBLIC/MEDIA/4/FILES/SEFIC/SEFIC%202017/RESULTADO_FINAL_XIIISEFIC.PDF;-;0
42021014001P9;EDUCACAO;UNILASALLE;CENTRO UNIVERSITARIO LA SALLE;2017;23208606;2;10;POSTER;UNILASALLE;CANOAS;BRASIL;PORTUGUES;-;1983-6783;IMPRESSO;HTTP://WWW.UNILASALLE.EDU.BR/PUBLIC/MEDIA/4/FILES/SEFIC/SEFIC%202017/RESULTADO_FINAL_XIIISEFIC.PDF;-;0
42021014001P9;EDUCACAO;UNILASALLE;CENTRO UNIVERSITARIO LA SALLE;2017;23208755;2;10;POSTER;UNILASALLE;CANOAS;BRASIL;PORTUGUES;-;1983-6783;IMPRESSO;HTTP://ANAIS.UNILASALLE.EDU.BR/INDEX.PHP/SEFIC2015/INDEX;-;0
42021014001P9;EDUCACAO;UNILASALLE;CENTRO UNIVERSITARIO LA SALLE;2017;23208756;2;10;VERBETE;UNILASALLE;CANOAS;BRASIL;PORTUGUES;-;-;IMPRESSO;-;-;0
42021014001P9;EDUCACAO;UNILASALLE;CENTRO UNIVERSITARIO LA SALLE;2017;23208776;2;10;POSTER;UNILASALLE;CANOAS;BRASIL;PORTUGUES;1;1983-6783;IMPRESSO;HTTP://WWW.UNILASALLE.EDU.BR/PUBLIC/MEDIA/4/FILES/SEFIC/SEFIC%202017/RESULTADO_FINAL_XIIISEFIC.PDF;-;0
42021014001P9;EDUCACAO;UNILASALLE;CENTRO UNIVERSITARIO LA SALLE;2017;23208811;2;10;POSTER;UNILASALLE;CANOAS;BRASIL;PORTUGUES;-;1983-6783;IMPRESSO;HTTP://WWW.UNILASALLE.EDU.BR/PUBLIC/MEDIA/4/FILES/SEFIC/SEFIC%202017/RESULTADO_FINAL_XIIISEFIC.PDF;-;0
42021014001P9;EDUCACAO;UNILASALLE;CENTRO UNIVERSITARIO LA SALLE;2017;23208854;2;10;POSTER;UNILASALLE;CANOAS;BRASIL;PORTUGUES;-;1983-6783;IMPRESSO;HTTP://WWW.UNILASALLE.EDU.BR/PUBLIC/MEDIA/4/FILES/SEFIC/SEFIC%202017/RESULTADO_FINAL_XIIISEFIC.PDF;-;0
42021014001P9;EDUCACAO;UNILASALLE;CENTRO UNIVERSITARIO LA SALLE;2017;23208872;2;10;PREFACIO DO CADERNO DO PROGRAMA DE PESQUISA DO CENTRO UNIVERSITARIO CENECISTA DE OSORIO.;EDITORA DO CENTRO UNIVERSITARIO CENECISTA DE OSORIO;OSORIO/RS;BRASIL;PORTUGUES;36;37800189106;MEIO DIGITAL;HTTP://UNICNECOSORIO.CNEC.BR/WP-CONTENT/UPLOADS/SITES/133/2016/06/CADERNO-DE-PESQUISA-ATUALIZADO.PDF;-;0
